;id;title;type;genres;averageRating;numVotes;releaseYear
106;tt0060196;The Good, the Bad and the Ugly;movie;Adventure, Drama, Western;8.8;827594;1966
107;tt2442560;Peaky Blinders;tvSeries;Crime, Drama;8.8;677365;2013
108;tt10986410;Ted Lasso;tvSeries;Comedy, Drama, Sport;8.8;369542;2020
109;tt7660850;Succession;tvSeries;Comedy, Drama;8.8;292036;2018
110;tt0472954;It's Always Sunny in Philadelphia;tvSeries;Comedy;8.8;257726;2005
111;tt0098936;Twin Peaks;tvSeries;Crime, Drama, Mystery;8.8;220294;1990
112;tt3398228;BoJack Horseman;tvSeries;Animation, Comedy, Drama;8.8;197778;2014
113;tt0193676;Freaks and Geeks;tvSeries;Comedy, Drama;8.8;155581;1999
114;tt0214341;Dragon Ball Z;tvSeries;Action, Adventure, Animation;8.8;153144;1996
115;tt0264235;Curb Your Enthusiasm;tvSeries;Comedy;8.8;151415;2000
116;tt7137906;When They See Us;tvMiniSeries;Biography, Crime, Drama;8.8;141832;2019
117;tt23849204;12th Fail;movie;Biography, Drama;8.8;131650;2023
118;tt14650074;Dhindora;tvSeries;Comedy, Drama;8.8;123024;2021
119;tt0072500;Fawlty Towers;tvSeries;Comedy;8.8;101646;1975
120;tt3530232;Last Week Tonight with John Oliver;tvSeries;Comedy, News, Talk-Show;8.8;97194;2014
121;tt0112130;Pride and Prejudice;tvMiniSeries;Drama, Romance;8.8;94120;1995
122;tt0121220;Dragon Ball Z;tvSeries;Action, Adventure, Animation;8.8;90331;1989
123;tt10233448;Vinland Saga;tvSeries;Action, Adventure, Animation;8.8;82933;2019
124;tt0063929;Monty Python's Flying Circus;tvSeries;Comedy;8.8;79732;1969
125;tt1910272;Steins,Gate;tvSeries;Animation, Comedy, Drama;8.8;77027;2011
126;tt3718778;Over the Garden Wall;tvMiniSeries;Adventure, Animation, Comedy;8.8;74578;2014
127;tt0353049;Chappelle's Show;tvSeries;Comedy, Music;8.8;73152;2003
128;tt0096548;Blackadder Goes Forth;tvSeries;Comedy, War;8.8;57738;1989
129;tt15435876;The Penguin;tvMiniSeries;Crime, Drama;8.8;38403;2024
130;tt16026746;X-Men '97;tvSeries;Action, Adventure, Animation;8.8;36703;2024
131;tt0081834;Das Boot;tvMiniSeries;Drama, War;8.8;33912;1985
132;tt1795096;Behzat Ç: An Ankara Detective Story;tvSeries;Crime, Drama, Mystery;8.8;33467;2010
133;tt7927936;Flames;tvSeries;Comedy, Drama, Romance;8.8;33030;2018
134;tt16492678;Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc;movie;Action, Animation, Fantasy;8.8;25814;2021
135;tt0253779;The Foster Brothers;movie;Comedy;8.8;21349;1976
136;tt0074006;I, Claudius;tvMiniSeries;Biography, Drama, History;8.8;19800;1976
137;tt15295490;Campus Diaries;tvSeries;Comedy, Drama, Romance;8.8;17339;2022
138;tt0084302;The Marathon Family;movie;Comedy, Drama;8.8;17245;1982
